datetime,Physical memory,Virtual memory,Memory buffers,Cached memory,Shared memory,Swap space,/,/dev/shm,/run,/sys/fs/cgroup,/boot,/run/user/42,/run/user/1035,/run/media/admin/CentOS 7 x86_64,/run/user/1028
2023-05-10 07:20:02,3679788,4409464,48,700012,191196,729676,14627677,0,55621,0,50651,1,7,4245165,0
2023-05-10 07:25:02,3675424,4393840,48,695220,186072,718416,14627667,0,51525,0,50651,1,7,4245165,0
2023-05-10 07:30:01,3675396,4393804,48,695400,186072,718408,14627677,0,51525,0,50651,1,7,4245165,0
2023-05-10 07:35:01,3675728,4394136,48,695660,186072,718408,14627669,0,51525,0,50651,1,7,4245165,0
2023-05-10 07:40:02,3684132,4402536,48,704344,194264,718404,14627692,0,53573,0,50651,1,7,4245165,0
2023-05-10 07:45:01,3684872,4403268,48,704724,194264,718396,14627673,0,53573,0,50651,1,7,4245165,0
2023-05-10 07:50:02,3685380,4403772,48,705116,194264,718392,14627680,0,53573,0,50651,1,7,4245165,0
2023-05-10 07:55:02,3693956,4412348,48,713492,202456,718392,14627674,0,55621,0,50651,1,7,4245165,0
2023-05-10 08:00:01,3888348,4593544,48,821744,197244,705196,14627710,0,51525,0,50651,1,7,4245165,0
2023-05-10 08:05:01,3918544,4623736,48,822260,197276,705192,14627691,0,51533,0,50651,1,7,4245165,0
2023-05-10 08:10:02,3664960,4385168,48,622132,183300,720208,14627737,0,51525,0,50651,1,7,4245165,0
2023-05-10 08:15:02,3717024,4437120,48,738160,191492,720096,14627683,0,53573,0,50651,1,7,4245165,0
2023-05-10 08:20:02,3789864,4507912,48,757976,191492,718048,14627764,0,53573,0,50651,1,7,4245165,0
2023-05-10 08:25:01,3847520,4565568,48,758388,191492,718048,14629378,0,53573,0,50651,1,7,4245165,0
2023-05-10 08:30:02,3875872,4582660,48,763156,194588,706788,14629273,0,51525,0,50651,1,7,4245165,0
2023-05-10 08:35:02,3903896,4733360,44,550976,87820,829464,14629237,0,51511,0,50651,1,7,4245165,
2023-05-10 08:40:01,3727188,4579644,44,617568,79812,852456,14629278,0,51511,0,50651,1,7,4245165,
2023-05-10 08:45:02,3854452,4706428,44,674128,88476,851976,14629290,0,53559,0,50651,1,7,4245165,
2023-05-10 08:50:02,3803512,4653996,44,677896,88588,850484,14629331,0,53559,0,50651,1,7,4245165,
2023-05-10 08:55:01,3901728,4752160,44,679512,88636,850432,14629272,0,53559,0,50651,1,7,4245165,
2023-05-10 09:00:02,3919304,4769652,44,688160,96912,850348,14629305,0,55607,0,50651,1,7,4245165,
2023-05-10 09:05:02,3704928,4639808,44,509256,87392,934880,14629309,0,57655,0,50651,1,7,4245165,
2023-05-10 09:10:02,3809420,4744260,44,613536,87392,934840,14629301,0,57655,0,50651,1,7,4245165,
2023-05-10 09:15:02,3820208,4755008,44,614528,87392,934800,14629277,0,57655,0,50651,1,7,4245165,
2023-05-10 09:20:02,3824024,4772428,44,583880,92612,948404,14629288,0,59703,0,50651,1,7,4245165,
2023-05-10 09:25:02,3768972,4714236,44,595948,92612,945264,14629349,0,59703,0,50651,1,7,4245165,
2023-05-10 09:30:02,3809444,4754700,44,600604,92612,945256,14629296,0,59703,0,50651,1,7,4245165,
2023-05-10 09:35:01,3818888,4764144,44,609204,100804,945256,14629280,0,61751,0,50651,1,7,4245165,
2023-05-10 09:40:02,3838168,4758592,44,628372,108928,920424,14629295,0,57655,0,50651,1,7,4245165,
2023-05-10 09:45:01,3851964,4772368,44,639400,108928,920404,14629284,0,57655,0,50651,1,7,4245165,
2023-05-10 09:50:02,3851156,4771540,44,640188,108928,920384,14629301,0,57655,0,50651,1,7,4245165,
2023-05-10 09:55:02,3859860,4780240,44,649260,117120,920380,14629279,0,59703,0,50651,1,7,4245165,
2023-05-10 10:00:02,3860340,4780720,44,649600,117120,920380,14629284,0,59703,0,50651,1,7,4245165,
2023-05-10 10:05:01,3761564,4716500,44,641232,111272,954936,14629341,0,61751,0,50651,1,7,4245165,
2023-05-10 10:10:02,3682072,4586536,44,674512,118732,904464,14629393,0,51511,0,50651,1,7,4245165,
2023-05-10 10:15:02,3670844,4575300,44,678476,118732,904456,14629396,0,51511,0,50651,1,7,4245165,
2023-05-10 10:20:02,3375472,4279664,44,684864,118732,904192,14629376,0,51511,0,50651,1,7,4245165,
2023-05-10 10:25:02,3456272,4360464,44,689492,118732,904192,14629293,0,51511,0,50651,1,7,4245165,
2023-05-10 10:30:02,3417068,4321144,44,698120,126924,904076,14629357,0,53559,0,50651,1,7,4245165,
2023-05-10 10:35:02,3397412,4301480,44,702580,126924,904068,14629300,0,53559,0,50651,1,7,4245165,
2023-05-10 10:40:01,3461492,4365508,44,713860,135116,904016,14631652,0,55607,0,50651,1,7,4245165,
2023-05-10 10:45:02,3434000,4310848,44,721504,142560,876848,14631648,0,51511,0,50651,1,7,4245165,
2023-05-10 10:50:01,3424676,4301520,44,721760,142560,876844,14631644,0,51511,0,50651,1,7,4245165,
2023-05-10 10:55:02,3438804,4315644,44,722080,142564,876840,14631634,0,51511,0,50651,1,7,4245165,
2023-05-10 11:00:02,3447252,4324092,44,730680,150756,876840,14631638,0,53559,0,50651,1,7,4245165,
2023-05-10 11:05:01,3565000,4441832,44,739056,150812,876832,14599787,0,53573,0,50651,1,7,4245165,0
2023-05-10 11:10:02,3559096,4435916,44,749508,150756,876820,14599901,0,53559,0,50651,1,7,4245165,
2023-05-10 11:15:02,3537828,4414648,44,749836,150756,876820,14599886,0,53559,0,50651,1,7,4245165,
2023-05-10 11:20:01,3575220,4437860,44,767912,156612,862640,14600666,0,51511,0,50651,1,7,4245165,
2023-05-10 11:25:02,3509100,4371716,44,768448,156612,862616,14600697,0,51511,0,50651,1,7,4245165,
2023-05-10 11:30:02,3426848,4289368,44,769076,156612,862520,14600654,0,51511,0,50651,1,7,4245165,
2023-05-10 11:35:01,3366236,4225084,44,777680,164804,858848,14600592,0,53559,0,50651,1,7,4245165,
2023-05-10 11:40:02,3422008,4280852,44,778164,164804,858844,14600639,0,53559,0,50651,1,7,4245165,
2023-05-10 11:45:02,3459456,4318292,44,778536,164804,858836,14600595,0,53559,0,50651,1,7,4245165,
2023-05-10 11:50:02,3449624,4308188,44,794796,172996,858564,14600619,0,55607,0,50651,1,7,4245165,
2023-05-10 11:55:02,3404912,4247868,44,794300,172216,842956,14600625,0,51511,0,50651,1,7,4245165,
2023-05-10 12:00:02,3414104,4257036,44,795856,172216,842932,14600631,0,51511,0,50651,1,7,4245165,
2023-05-10 12:05:01,3346368,4189280,44,797976,172216,842912,14600731,0,51511,0,50651,1,7,4245165,
2023-05-10 12:10:02,3535592,4378500,44,808680,180408,842908,14600678,0,53559,0,50651,1,7,4245165,
2023-05-10 12:15:02,3532436,4375344,44,809008,180408,842908,14600649,0,53559,0,50651,1,7,4245165,
2023-05-10 12:20:02,3419504,4262408,44,809360,180408,842904,14602768,0,53559,0,50651,1,7,4245165,
2023-05-10 12:25:02,3497760,4340656,44,809728,180408,842896,14602688,0,53559,0,50651,1,7,4245165,
2023-05-10 12:30:01,3421688,4264376,44,818256,188600,842688,14602884,0,51511,0,50651,1,7,4245165,
2023-05-10 12:35:02,3437188,4260184,44,822988,191380,822996,14602898,0,51511,0,50651,1,7,4245165,
2023-05-10 12:40:02,3433768,4256424,44,825976,191380,822656,14602916,0,51511,0,50651,1,7,4245165,
2023-05-10 12:45:01,3382200,4204796,44,834732,199572,822596,14603009,0,53559,0,50651,1,7,4245165,
2023-05-10 12:50:02,3390996,4213588,44,835152,199572,822592,14605460,0,53559,0,50651,1,7,4245165,
2023-05-10 12:55:02,3375068,4197656,44,835524,199572,822588,14605328,0,53559,0,50651,1,7,4245165,
2023-05-10 13:00:02,3383952,4206488,44,844412,207764,822536,14605509,0,55607,0,50651,1,7,4245165,
2023-05-10 13:05:01,3409412,4231932,44,853060,216012,822520,14605312,0,57669,0,50651,1,7,4245165,0
2023-05-10 13:10:02,3409040,4231560,44,853424,216012,822520,14605341,0,57669,0,50651,1,7,4245165,0
2023-05-10 13:15:02,3321776,4144292,44,857112,215956,822516,14605914,0,57655,0,50651,1,7,4245165,
2023-05-10 13:20:01,3330596,4153108,44,865604,224148,822512,14605972,0,59703,0,50651,1,7,4245165,
2023-05-10 13:25:01,3331636,4154148,44,865896,224148,822512,14605776,0,59703,0,50651,1,7,4245165,
2023-05-10 13:30:02,3333352,4155812,44,866300,224200,822460,14605803,0,59703,0,50651,1,7,4245165,
2023-05-10 13:35:02,3341332,4163792,44,874760,232340,822460,14605778,0,61751,0,50651,1,7,4245165,
2023-05-10 13:40:02,3314136,4123112,44,847664,204860,808976,14605834,0,51511,0,50651,1,7,4245165,
2023-05-10 13:45:02,3339556,4148512,44,850104,204860,808956,14605933,0,51511,0,50651,1,7,4245165,
2023-05-10 13:50:02,3333128,4142076,44,850644,204860,808948,14605943,0,51511,0,50651,1,7,4245165,
2023-05-10 13:55:02,3325020,4133964,44,864520,213052,808944,14605920,0,53559,0,50651,1,7,4245165,
2023-05-10 14:00:01,3298720,4103412,44,867912,213052,804692,14605960,0,53559,0,50651,1,7,4245165,
2023-05-10 14:05:02,3316964,4121636,44,868392,213108,804672,14605842,0,53573,0,50651,1,7,4245165,0
2023-05-10 14:10:01,3325472,4130140,44,876944,221300,804668,14605876,0,55621,0,50651,1,7,4245165,0
